Time, s;x;y;z
37.3;2487.9656;825.3517;344.69955
37.4;2494.2778;825.4627;346.218
37.5;2500.5864;825.5672;347.7376
37.6;2506.8916;825.665;349.25842
37.7;2513.1934;825.756;350.78043
37.8;2519.4917;825.8402;352.3037
37.9;2525.7869;825.9175;353.82822
38,00;2532.079;825.98773;355.354
38.1;2538.3682;826.05096;356.8811
38.2;2544.6545;826.1071;358.40952
38.3;2550.9382;826.156;359.93924
38.4;2557.2192;826.1977;361.47034
38.5;2563.4978;826.23206;363.0028
38.6;2569.7742;826.2591;364.53668
38.7;2576.0483;826.27875;366.072
38.8;2582.3203;826.2909;367.60873
38.9;2588.5903;826.2956;369.14694
39,00;2594.8584;826.2928;370.68665
39.1;2601.125;826.2824;372.22784
39.2;2607.39;826.26447;373.7706
39.3;2613.653;826.23895;375.31488
39.4;2619.9153;826.20575;376.86078
39.5;2626.176;826.1649;378.40826
39.6;2632.4358;826.11646;379.95737
39.7;2638.6946;826.0603;381.50815
39.8;2644.9526;825.9965;383.06058
39.9;2651.2097;825.92505;384.61475
40,00;2657.4663;825.8459;386.17062
40.1;2663.7224;825.75903;387.72824
40.2;2669.9783;825.66455;389.28763
40.3;2676.234;825.56244;390.84882
40.4;2682.4893;825.4527;392.41183
40.5;2688.7449;825.3353;393.9767
40.6;2695.0005;825.2104;395.54346
40.7;2701.2563;825.0779;397.1121
40.8;2707.5125;824.93787;398.68265
40.9;2713.7693;824.7904;400.2552
41,00;2720.0266;824.63544;401.82965
41.1;2726.285;824.4731;403.40613
41.2;2732.5437;824.30334;404.98465
41.3;2738.8037;824.1263;406.5652
41.4;2745.065;823.942;408.14783
41.5;2751.3271;823.7505;409.73254
41.6;2757.5906;823.5519;411.31937
41.7;2763.8557;823.3462;412.90836
41.8;2770.1223;823.1334;414.4995
41.9;2776.3906;822.9138;416.09286
42,00;2782.6606;822.68726;417.68845
42.1;2788.9324;822.454;419.28625
42.2;2795.2063;822.2139;420.88632
42.3;2801.4824;821.9673;422.4887
42.4;2807.7605;821.7142;424.09338
42.5;2814.0413;821.4545;425.7004
42.6;2820.3242;821.1886;427.30978
42.7;2826.6096;820.9164;428.92154
42.8;2832.8977;820.638;430.5357
42.9;2839.1885;820.3536;432.15228
43,00;2845.4822;820.06323;433.77133
43.1;2851.7788;819.767;435.39285
43.2;2858.0784;819.46515;437.01685
43.3;2864.381;819.15765;438.64337
43.4;2870.687;818.84467;440.27243
43.5;2876.996;818.5263;441.90405
43.6;2883.3086;818.2027;443.53824
43.7;2889.6248;817.87396;445.17502
43.8;2895.9443;817.5403;446.81442
43.9;2902.2676;817.2017;448.45645
44,00;2908.5947;816.85846;450.10114
